,3,4,5,6,7,8
Date,7AM,10AM,1PM,4PM,7PM,10PM
JERSEY CITY,broken clouds,overcast clouds,overcast clouds,overcast clouds,broken clouds,scattered clouds
C1 TEMPS,32,35,40,40,38,38
ALBANY,overcast clouds,broken clouds,broken clouds,broken clouds,broken clouds,broken clouds
C2 TEMPS,27,31,35,32,30,30
BUFFALO,snow,light snow,light rain,overcast clouds,overcast clouds,broken clouds
C3 TEMPS,33,34,37,38,36,35
SYRACUSE,overcast clouds,light snow,light snow,light snow,light snow,overcast clouds
C4 TEMPS,27,31,35,35,34,35
ROCHESTER,light snow,light snow,light snow,light snow,overcast clouds,overcast clouds
C5 TEMPS,30,34,36,35,35,35
PHILADELPHIA,broken clouds,light snow,light snow,overcast clouds,overcast clouds,broken clouds
C6 TEMPS,32,35,37,41,40,38
BOSTON,scattered clouds,overcast clouds,overcast clouds,few clouds,few clouds,clear sky
C7 TEMPS,28,31,34,32,31,30
