,4,5,6,7,8,9
Date,9AM,12PM,3PM,6PM,9PM,12AM
SAN DIEGO,scattered clouds,scattered clouds,few clouds,few clouds,scattered clouds,scattered clouds
C1 TEMPS,60,63,64,63,62,61
PALM SPRINGS,few clouds,few clouds,clear sky,clear sky,clear sky,clear sky
C2 TEMPS,60,70,73,68,61,59
LAS VEGAS,overcast clouds,overcast clouds,overcast clouds,broken clouds,broken clouds,broken clouds
C3 TEMPS,51,59,63,60,55,52
PHOENIX,scattered clouds,broken clouds,overcast clouds,scattered clouds,clear sky,clear sky
C4 TEMPS,63,70,73,72,68,66
SALT LAKE CITY,light rain,light rain,light rain,broken clouds,broken clouds,broken clouds
C5 TEMPS,43,45,45,41,39,40
SAN JOSE,broken clouds,broken clouds,broken clouds,light rain,light rain,few clouds
C6 TEMPS,48,55,59,54,49,47
PORTLAND,light rain,light rain,light rain,light rain,light rain,light rain
C7 TEMPS,45,45,46,46,44,42
